city,province
Abbottabad,Khyber Pakhtunkhwa
Abdul Hakim,Punjab
Abdul Khel,Khyber Pakhtunkhwa
Ahmadpur East,Punjab
Akora,Khyber Pakhtunkhwa
Allahabad,Punjab
Arandu,Khyber Pakhtunkhwa
Arifwala,Punjab
Atharan Hazari,Punjab
Attock Khurd,Punjab
Awan Patti,Azad Kashmir
Ayun,Khyber Pakhtunkhwa
Badin,Sindh
Badrashni,Khyber Pakhtunkhwa
Bagh,Azad Kashmir
Bagu Na Mohra,Punjab
Bahawalnagar,Punjab
Bahawalpur,Punjab
Bahrain,Khyber Pakhtunkhwa
Baltit,Gilgit-Baltistan
Bandhi,Sindh
Bannu,Khyber Pakhtunkhwa
Basla,Punjab
Bat Khela,Khyber Pakhtunkhwa
Batgram,Khyber Pakhtunkhwa
Bela,Balochistan
Bhakkar,Punjab
Bhalwal,Punjab
Bhawana,Punjab
Bhimbar,Azad Kashmir
Buni,Khyber Pakhtunkhwa
Bunji,Gilgit-Baltistan
Cantonment,Punjab
Chak Five Hundred Seventy-five,Punjab
Chak Jhumra,Punjab
Chak Sixty-one Gugera Branch,Punjab
Chak Thathi,Punjab
Chak Thirty-six North Branch,Punjab
Chakdarra,Khyber Pakhtunkhwa
Chakwal,Punjab
Chaman,Balochistan
Charbagh,Khyber Pakhtunkhwa
Charsadda,Khyber Pakhtunkhwa
Chauk Azam,Punjab
Chenab Nagar,Punjab
Chilas,Gilgit-Baltistan
Chiniot,Punjab
Chishtian,Punjab
Chitral,Khyber Pakhtunkhwa
Choa Saidan Shah,Punjab
Chunian,Punjab
Dadhar,Balochistan
Dadu,Sindh
Dainyor,Gilgit-Baltistan
Dera Allahyar,Balochistan
Dera Ghazi Khan,Punjab
Dera Ismail Khan,Khyber Pakhtunkhwa
Dhanot,Punjab
Dina,Azad Kashmir
Dinga,Punjab
Dipalpur,Punjab
Doaba,Khyber Pakhtunkhwa
Drazinda,Khyber Pakhtunkhwa
Dulmial,Punjab
Eminabad,Punjab
Faisalabad,Punjab
Faruka,Punjab
Firoza,Punjab
Gadani,Balochistan
Gahi Mammar,Punjab
