city,province,latitude,longitude
Abbottabad,Khyber Pakhtunkhwa,34.143614,73.213275
Abdul Hakim,Punjab,30.554405,72.131856
Abdul Khel,Khyber Pakhtunkhwa,32.399426,70.913506
Ahmadpur East,Punjab,29.182574,71.360083
Akora,Khyber Pakhtunkhwa,33.999666,72.124960
Allahabad,Punjab,30.876335,74.054992
Arandu,Khyber Pakhtunkhwa,35.310111,71.551056
Arifwala,Punjab,30.294450,73.058942
Atharan Hazari,Punjab,31.166178,72.097215
Attock Khurd,Punjab,33.896188,72.249019
Awan Patti,Azad Kashmir,,
Ayun,Khyber Pakhtunkhwa,35.715908,71.770390
Badin,Sindh,24.662329,68.838472
Badrashni,Khyber Pakhtunkhwa,,
Bagh,Azad Kashmir,33.980008,73.773788
Bagu Na Mohra,Punjab,,
Bahawalnagar,Punjab,29.993592,73.252762
Bahawalpur,Punjab,29.402950,71.652345
Bahrain,Khyber Pakhtunkhwa,34.873585,72.437926
Baltit,Gilgit-Baltistan,36.325728,74.668915
Bandhi,Sindh,26.586569,68.301387
Bannu,Khyber Pakhtunkhwa,32.985701,70.603602
Basla,Punjab,33.323798,73.487533
Bat Khela,Khyber Pakhtunkhwa,34.613431,71.967745
Batgram,Khyber Pakhtunkhwa,34.219400,71.626055
Bela,Balochistan,26.226778,66.311263
Bhakkar,Punjab,31.622111,71.065058
Bhalwal,Punjab,32.271074,72.896564
Bhawana,Punjab,31.568239,72.646299
Bhimbar,Azad Kashmir,32.970505,74.072149
Buni,Khyber Pakhtunkhwa,36.270060,72.262505
Bunji,Gilgit-Baltistan,35.652703,74.628728
Cantonment,Punjab,31.522101,74.379035
Chak Five Hundred Seventy-five,Punjab,,
Chak Jhumra,Punjab,31.570366,73.187208
Chak Sixty-one Gugera Branch,Punjab,,
Chak Thathi,Punjab,,
Chak Thirty-six North Branch,Punjab,,
Chakdarra,Khyber Pakhtunkhwa,,
Chakwal,Punjab,32.932827,72.862976
Chaman,Balochistan,30.915948,66.463105
Charbagh,Khyber Pakhtunkhwa,34.834378,72.440480
